"HomeTeam","VisitingTeam","Home_Matches_Wo","Visitor_Matches_won","winner","loser","matchdate","scorecrdid","descr","positionplayed","score","winnersTeamName","losersTeamName","hteamid","vteamid"
"Northeastern University","Boston College","4","5","McLaughlin, Christina ","Powers, Nicole ","10/28/17","106486","CSA Women","1","11-8,3-11,11-7,11-9","Boston College","Northeastern University","19916","19938"
"Northeastern University","Boston College","4","5","Didizian, Sabrina ","Quarrier, Isabelle ","10/28/17","106486","CSA Women","2","9-11,11-3,11-9,11-5","Boston College","Northeastern University","19916","19938"
"Northeastern University","Boston College","4","5","Qiu, Jessica ","Berner, Lulu ","10/28/17","106486","CSA Women","3","11-5,9-11,11-9,11-9","Northeastern University","Boston College","19916","19938"
"Northeastern University","Boston College","4","5","Markgraf, Maggie ","Lavoie, Grace M.","10/28/17","106486","CSA Women","4","7-11,11-6,11-9,6-11,11-8","Northeastern University","Boston College","19916","19938"
"Northeastern University","Boston College","4","5","Schlehr, Isabelle S","Green, Anne Marie ","10/28/17","106486","CSA Women","5","15-13,11-8,11-8","Northeastern University","Boston College","19916","19938"
"Northeastern University","Boston College","4","5","Bow, Malia ","Fink, Grace ","10/28/17","106486","CSA Women","6","11-7,13-11,6-11,7-11,11-9","Northeastern University","Boston College","19916","19938"
"Northeastern University","Boston College","4","5","Tregidgo, Grace ","Lundgren, Brooke ","10/28/17","106486","CSA Women","7","11-4,9-11,11-5,11-4","Boston College","Northeastern University","19916","19938"
"Northeastern University","Boston College","4","5","Hanauer, Paige ","Atkins, Sophie ","10/28/17","106486","CSA Women","8","11-1,11-5,11-7","Boston College","Northeastern University","19916","19938"
"Northeastern University","Boston College","4","5","Dickinson, Carol L.","Gibbons, Lully ","10/28/17","106486","CSA Women","9","11-3,11-1,11-1","Boston College","Northeastern University","19916","19938"
"Northeastern University","Boston College","4","5","","","10/28/17","106486","CSA Women","10","unknown","Northeastern University","Boston College","19916","19938"
"Northeastern University","University of Rochester","9","0","Powers, Nicole ","Erdenebat, Maralmaa ","10/28/17","106488","CSA Women","1","11-2,11-1,11-1","Northeastern University","University of Rochester","19916","19940"
"Northeastern University","University of Rochester","9","0","Quarrier, Isabelle ","Majid, Maria ","10/28/17","106488","CSA Women","2","11-3,11-2,11-6","Northeastern University","University of Rochester","19916","19940"
"Northeastern University","University of Rochester","9","0","Qiu, Jessica ","Charlwood, Jess ","10/28/17","106488","CSA Women","3","11-3,11-1,11-1","Northeastern University","University of Rochester","19916","19940"
"Northeastern University","University of Rochester","9","0","Markgraf, Maggie ","Rinaldi, Nicole ","10/28/17","106488","CSA Women","4","11-2,11-0,11-3","Northeastern University","University of Rochester","19916","19940"
"Northeastern University","University of Rochester","9","0","Schlehr, Isabelle S","Shapiro, Kalila ","10/28/17","106488","CSA Women","5","11-1,11-0,11-4","Northeastern University","University of Rochester","19916","19940"
"Northeastern University","University of Rochester","9","0","Bow, Malia ","Liang, Zi ","10/28/17","106488","CSA Women","6","11-4,11-0,11-2","Northeastern University","University of Rochester","19916","19940"
"Northeastern University","University of Rochester","9","0","Lundgren, Brooke ","Han, Zhixian ","10/28/17","106488","CSA Women","7","11-2,11-2,11-2","Northeastern University","University of Rochester","19916","19940"
"Northeastern University","University of Rochester","9","0","Atkins, Sophie ","He, Jieyu ","10/28/17","106488","CSA Women","8","11-3,11-1,11-2","Northeastern University","University of Rochester","19916","19940"
"Northeastern University","University of Rochester","9","0","Gibbons, Lully ","Saco, Sarah ","10/28/17","106488","CSA Women","9","11-3,11-2,11-4","Northeastern University","University of Rochester","19916","19940"
"Northeastern University","University of Rochester","9","0","","","10/28/17","106488","CSA Women","10","unknown","Northeastern University","University of Rochester","19916","19940"
"Boston College","University of Rochester","9","0","McLaughlin, Christina ","Erdenebat, Maralmaa ","10/28/17","106515","CSA Women","1","11-1,11-0,11-3","Boston College","University of Rochester","19938","19940"
"Boston College","University of Rochester","9","0","Didizian, Sabrina ","Majid, Maria ","10/28/17","106515","CSA Women","2","11-1,11-0,11-0","Boston College","University of Rochester","19938","19940"
"Boston College","University of Rochester","9","0","Berner, Lulu ","Charlwood, Jess ","10/28/17","106515","CSA Women","3","11-8,11-0,11-1","Boston College","University of Rochester","19938","19940"
"Boston College","University of Rochester","9","0","Lavoie, Grace M.","Rinaldi, Nicole ","10/28/17","106515","CSA Women","4","11-2,11-4,11-1","Boston College","University of Rochester","19938","19940"
"Boston College","University of Rochester","9","0","Green, Anne Marie ","Shapiro, Kalila ","10/28/17","106515","CSA Women","5","11-0,11-3,11-1","Boston College","University of Rochester","19938","19940"
"Boston College","University of Rochester","9","0","Fink, Grace ","Liang, Zi ","10/28/17","106515","CSA Women","6","11-4,11-2,11-2","Boston College","University of Rochester","19938","19940"
"Boston College","University of Rochester","9","0","Tregidgo, Grace ","Han, Zhixian ","10/28/17","106515","CSA Women","7","11-2,11-4,11-1","Boston College","University of Rochester","19938","19940"
"Boston College","University of Rochester","9","0","Hanauer, Paige ","He, Jieyu ","10/28/17","106515","CSA Women","8","11-1,11-0,11-0","Boston College","University of Rochester","19938","19940"
"Boston College","University of Rochester","9","0","Dickinson, Carol L.","Saco, Sarah ","10/28/17","106515","CSA Women","9","11-2,11-5,11-1","Boston College","University of Rochester","19938","19940"
"Boston College","University of Rochester","9","0","","","10/28/17","106515","CSA Women","10","unknown","Boston College","University of Rochester","19938","19940"
"Boston University","University of Rochester","9","0","Ferreira-Cesar, Laura ","Erdenebat, Maralmaa ","10/29/17","106514","CSA Women","1","11-1,11-7,11-3","Boston University","University of Rochester","19952","19940"
