HomeTeam,VisitingTeam,Home_Matches_Wo,Visitor_Matches_won,winner,loser,matchdate,scorecrdid,descr,positionplayed,score,winnersTeamName,losersTeamName,hteamid,vteamid
Siena College,University of Vermont,2,7,"Rahim, Faizan U.","Vincett, Will K",10/8/16,97048,CSA Men,1,"9-11,11-7,13-11,9-11,11-8",Siena College,University of Vermont,18585,18537
Siena College,University of Vermont,2,7,"Smith, Edward F.","McQuade, Jack ",10/8/16,97048,CSA Men,2,"11-6,11-8,11-2",University of Vermont,Siena College,18585,18537
Siena College,University of Vermont,2,7,"Bonilla, Diego ","Stumm, Edward K.",10/8/16,97048,CSA Men,3,"11-4,11-8,11-7",University of Vermont,Siena College,18585,18537
Siena College,University of Vermont,2,7,"Buchholz, Max L.","Weimer, Jimmy ",10/8/16,97048,CSA Men,4,"11-4,11-6,11-9",University of Vermont,Siena College,18585,18537
Siena College,University of Vermont,2,7,"Donahue, Stephen ","Keenan, John ",10/8/16,97048,CSA Men,5,"11-4,11-8,11-7",University of Vermont,Siena College,18585,18537
Siena College,University of Vermont,2,7,"Spofford, Knowles ","Santos, Russell ",10/8/16,97048,CSA Men,6,"12-10,11-4,11-4",University of Vermont,Siena College,18585,18537
Siena College,University of Vermont,2,7,"Sickmueller, Kristina ","Gallagher, Joey ",10/8/16,97048,CSA Men,7,"11-3,11-1,11-1",University of Vermont,Siena College,18585,18537
Siena College,University of Vermont,2,7,"Betzler, Jeff ","Caron, Thomas ",10/8/16,97048,CSA Men,8,"11-9,11-3,11-9",University of Vermont,Siena College,18585,18537
Siena College,University of Vermont,2,7,"Goldmann, Liann ","Ward, Jack ",10/8/16,97048,CSA Men,9,"11-6,11-7,11-2",Siena College,University of Vermont,18585,18537
Siena College,University of Vermont,2,7,"Sileo, Gregory ","Ward, Jack ",10/8/16,97048,CSA Men,10,"8-11,11-5,11-0,11-5",Siena College,University of Vermont,18585,18537
Ohio St University,University of Notre Dame,7,2,"Wilson, Reid ","Cooper, Max ",10/15/16,94589,CSA Men,1,"11-6,12-10,12-10",Ohio St University,University of Notre Dame,18613,18555
Ohio St University,University of Notre Dame,7,2,"Mesiano, Luke ","Killian, Tucker ",10/15/16,94589,CSA Men,2,"11-9,7-11,8-11,11-4,11-5",Ohio St University,University of Notre Dame,18613,18555
Ohio St University,University of Notre Dame,7,2,"Greer, Henry J.","Shah, Aditya ",10/15/16,94589,CSA Men,3,"11-7,11-7,11-7",University of Notre Dame,Ohio St University,18613,18555
Ohio St University,University of Notre Dame,7,2,"Anderson, Courtney E.","Henry, Mary Grace ",10/15/16,94589,CSA Men,4,"5-11,11-7,11-8,8-11,13-11",Ohio St University,University of Notre Dame,18613,18555
Ohio St University,University of Notre Dame,7,2,"Busarow, David ","Ferguson, John Paul ",10/15/16,94589,CSA Men,5,"9-11,11-9,11-7,11-3",Ohio St University,University of Notre Dame,18613,18555
Ohio St University,University of Notre Dame,7,2,"Trimmer, Jeffrey ","Healy, Phillip ",10/15/16,94589,CSA Men,6,"11-6,11-2,11-5",Ohio St University,University of Notre Dame,18613,18555
Ohio St University,University of Notre Dame,7,2,"Tufts, Sam ","Spence, Philip ",10/15/16,94589,CSA Men,7,"11-5,11-6,11-2",Ohio St University,University of Notre Dame,18613,18555
Ohio St University,University of Notre Dame,7,2,"Holloway, Andrew ","Cove, Ryan ",10/15/16,94589,CSA Men,8,"11-6,4-11,11-5,11-5",Ohio St University,University of Notre Dame,18613,18555
Ohio St University,University of Notre Dame,7,2,"Healy, Phillip ","Warren, Rob ",10/15/16,94589,CSA Men,9,"11-7,11-9,11-5",University of Notre Dame,Ohio St University,18613,18555
Ohio St University,University of Notre Dame,7,2,"Mrachko, Daniel ","McGuinness, John ",10/15/16,94589,CSA Men,10,"11-9,11-9,11-7",Ohio St University,University of Notre Dame,18613,18555
Denison University,University of Notre Dame,9,0,"Elmandouh, Ziad M.","Cooper, Max ",10/15/16,94590,CSA Men,1,"11-1,11-7,11-6",Denison University,University of Notre Dame,18566,18555
Denison University,University of Notre Dame,9,0,"Shahin, Sherief M.","Killian, Tucker ",10/15/16,94590,CSA Men,2,"11-4,11-0,11-3",Denison University,University of Notre Dame,18566,18555
Denison University,University of Notre Dame,9,0,"Magana, Alvaro ","Greer, Henry J.",10/15/16,94590,CSA Men,3,"11-4,11-1,11-3",Denison University,University of Notre Dame,18566,18555
Denison University,University of Notre Dame,9,0,"Magana, Fernando ","Henry, Mary Grace ",10/15/16,94590,CSA Men,4,"11-4,11-6,11-3",Denison University,University of Notre Dame,18566,18555
Denison University,University of Notre Dame,9,0,"Lavine, Drew T.","Ferguson, John Paul ",10/15/16,94590,CSA Men,5,"11-3,11-1,11-6",Denison University,University of Notre Dame,18566,18555
Denison University,University of Notre Dame,9,0,"Evarts, Sam ","Spence, Philip ",10/15/16,94590,CSA Men,6,"11-1,11-3,11-2",Denison University,University of Notre Dame,18566,18555
Denison University,University of Notre Dame,9,0,"Poole, D. Graham ","Healy, Phillip ",10/15/16,94590,CSA Men,7,"11-0,11-7,11-4",Denison University,University of Notre Dame,18566,18555
Denison University,University of Notre Dame,9,0,"Sumariwalla, Daraius A.","Cove, Ryan ",10/15/16,94590,CSA Men,8,"11-2,11-4,11-4",Denison University,University of Notre Dame,18566,18555
Denison University,University of Notre Dame,9,0,"Ferrick, Michael J.","Desler, John ",10/15/16,94590,CSA Men,9,"11-4,11-6,11-2",Denison University,University of Notre Dame,18566,18555
Denison University,University of Notre Dame,9,0,,,10/15/16,94590,CSA Men,10,unknown,Denison University,University of Notre Dame,18566,18555
Brandeis University,Babson College,6,3,"Appan, Janak ","Gan, Wit ",10/15/16,98713,CSA Men,1,"7-11,11-7,11-7,11-7",Babson College,Brandeis University,18612,19091
Brandeis University,Babson College,6,3,,"Jiang, Michael ",10/15/16,98713,CSA Men,2,"7-11,7-11,11-7,11-7,11-7",Babson College,Brandeis University,18612,19091
Brandeis University,Babson College,6,3,"Chung, E K ",,10/15/16,98713,CSA Men,3,"11-7,11-7,11-7",Brandeis University,Babson College,18612,19091
Brandeis University,Babson College,6,3,"Goldman, John ",,10/15/16,98713,CSA Men,4,"7-11,11-7,11-7,11-7",Brandeis University,Babson College,18612,19091
Brandeis University,Babson College,6,3,"Feldman, Alex ",,10/15/16,98713,CSA Men,5,"7-11,11-7,11-7,11-7",Brandeis University,Babson College,18612,19091
Brandeis University,Babson College,6,3,"Lu, Tiger ",,10/15/16,98713,CSA Men,6,"11-7,11-7,11-7",Brandeis University,Babson College,18612,19091
Brandeis University,Babson College,6,3,"Lal, Rohan ",,10/15/16,98713,CSA Men,7,"11-7,11-7,11-7",Brandeis University,Babson College,18612,19091
Brandeis University,Babson College,6,3,"Wang, Kevin ",,10/15/16,98713,CSA Men,8,"11-7,11-7,11-7",Brandeis University,Babson College,18612,19091
Brandeis University,Babson College,6,3,,"Vennapusa, Priyatham ",10/15/16,98713,CSA Men,9,"7-11,11-7,11-7,11-7",Babson College,Brandeis University,18612,19091
Brandeis University,Babson College,6,3,,,10/15/16,98713,CSA Men,10,unknown,Babson College,Brandeis University,18612,19091
University of California - Berkeley,University of Southern California,7,2,"Lin, Fred ","Sarwari, Khalil R.",10/15/16,102097,CSA Men,1,"11-6,11-6,11-8",University of Southern California,University of California - Berkeley,18563,18575
University of California - Berkeley,University of Southern California,7,2,"Long, Carson T.","Liang, Jaspar ",10/15/16,102097,CSA Men,2,"11-7,8-11,11-8,11-8",University of Southern California,University of California - Berkeley,18563,18575
University of California - Berkeley,University of Southern California,7,2,"Jung, David H.","Jhunjhnuwala, Shivang ",10/15/16,102097,CSA Men,3,"11-6,11-4,7-11,7-11,11-6",University of California - Berkeley,University of Southern California,18563,18575
University of California - Berkeley,University of Southern California,7,2,"Saluja, Samridh ","Shang, Kelvin H.",10/15/16,102097,CSA Men,4,"10-12,11-8,14-12,6-11,11-8",University of California - Berkeley,University of Southern California,18563,18575
University of California - Berkeley,University of Southern California,7,2,"Chen, Percy ","Cheng, Austin ",10/15/16,102097,CSA Men,5,"11-9,11-5,11-2",University of California - Berkeley,University of Southern California,18563,18575
University of California - Berkeley,University of Southern California,7,2,"Vives, Jaume ","Lin, Emma ",10/15/16,102097,CSA Men,6,"11-7,11-7,11-9",University of California - Berkeley,University of Southern California,18563,18575
University of California - Berkeley,University of Southern California,7,2,"Dalal, Nihar ","Yeung, Kevin ",10/15/16,102097,CSA Men,7,"13-11,11-4,11-3",University of California - Berkeley,University of Southern California,18563,18575
University of California - Berkeley,University of Southern California,7,2,"Dhindsa, Arjun ","Reiss, Heidi S.",10/15/16,102097,CSA Men,8,"2-11,9-11,12-10,11-4,11-5",University of California - Berkeley,University of Southern California,18563,18575
University of California - Berkeley,University of Southern California,7,2,"Gupta, Tanay ","Schwartz, Alexandra ",10/15/16,102097,CSA Men,9,"11-8,11-6,11-6",University of California - Berkeley,University of Southern California,18563,18575
University of California - Berkeley,University of Southern California,7,2,"Singh, Avjit ","Yerby, Cooper ",10/15/16,102097,CSA Men,10,"11-13,11-9,11-8,11-5",University of California - Berkeley,University of Southern California,18563,18575
Davidson College,Duke University,1,7,"Jung, Aaron ","Merchant, Adam A.",10/22/16,97101,CSA Men,1,"11-7,9-11,11-3,11-6",Duke University,Davidson College,18611,18599
Davidson College,Duke University,1,7,"Newhouse, Alexander J.","Dwyer, Matthew D.",10/22/16,97101,CSA Men,2,"11-5,11-4,11-2",Duke University,Davidson College,18611,18599
Davidson College,Duke University,1,7,"Niebanck, Charlie M.","Anderson, Cameron ",10/22/16,97101,CSA Men,3,"12-10,12-10,11-4",Duke University,Davidson College,18611,18599
Davidson College,Duke University,1,7,"Beckett-Ansa, Richard A.",,10/22/16,97101,CSA Men,4,"11-3,13-11,11-7",Duke University,Davidson College,18611,18599
Davidson College,Duke University,1,7,"Rickolt, Noah ","Kahane, Sam ",10/22/16,97101,CSA Men,5,"5-11,14-16,11-8,11-9,11-7",Davidson College,Duke University,18611,18599
Davidson College,Duke University,1,7,"Sambangi, Jaydeep ","Pagon, Willow ",10/22/16,97101,CSA Men,6,"11-3,5-11,11-3,11-2",Duke University,Davidson College,18611,18599
Davidson College,Duke University,1,7,"Koritzinsky, Justin ","Bowley, Austin ",10/22/16,97101,CSA Men,7,"8-11,11-9,11-4,15-13",Duke University,Davidson College,18611,18599
Davidson College,Duke University,1,7,"Egan, Grace ",,10/22/16,97101,CSA Men,8,"11-4,11-5,9-11,11-8",Duke University,Davidson College,18611,18599
Davidson College,Duke University,1,7,,,10/22/16,97101,CSA Men,9,unknown,Davidson College,Duke University,18611,18599
Davidson College,Duke University,1,7,,,10/22/16,97101,CSA Men,10,unknown,Davidson College,Duke University,18611,18599
Northeastern University,Babson College,8,0,"Kishorepuria, Karan ","Appan, Janak ",10/28/16,97437,CSA Men,1,"11-3,11-6,11-0",Northeastern University,Babson College,18580,19091
Northeastern University,Babson College,8,0,"Jacobson, Evan ",,10/28/16,97437,CSA Men,2,"11-5,11-5,11-8",Northeastern University,Babson College,18580,19091
Northeastern University,Babson College,8,0,"SHAH, VIRAJ ",,10/28/16,97437,CSA Men,3,"11-4,11-2,11-4",Northeastern University,Babson College,18580,19091
Northeastern University,Babson College,8,0,"Raja, Karan ",,10/28/16,97437,CSA Men,4,"11-3,11-7,11-1",Northeastern University,Babson College,18580,19091
Northeastern University,Babson College,8,0,"Greaves-Tunnell, Will C.",,10/28/16,97437,CSA Men,5,"11-7,11-4,11-7",Northeastern University,Babson College,18580,19091
Northeastern University,Babson College,8,0,"Menezes, Kalil ",,10/28/16,97437,CSA Men,6,"11-4,10-12,11-7,11-6",Northeastern University,Babson College,18580,19091
Northeastern University,Babson College,8,0,"Fogarty, Brian ",,10/28/16,97437,CSA Men,7,"11-3,11-3,11-3",Northeastern University,Babson College,18580,19091
Northeastern University,Babson College,8,0,"Catenacci, Thomas ",,10/28/16,97437,CSA Men,8,"11-3,11-1,11-3",Northeastern University,Babson College,18580,19091
Northeastern University,Babson College,8,0,,,10/28/16,97437,CSA Men,9,unknown,Northeastern University,Babson College,18580,19091
Northeastern University,Babson College,8,0,,,10/28/16,97437,CSA Men,10,unknown,Northeastern University,Babson College,18580,19091
Colgate University,Ithaca College,9,0,"Swain, Matthew J.","Crofton, Quin ",10/29/16,94591,CSA Men,1,"11-2,11-4,11-2",Colgate University,Ithaca College,18568,18594
Colgate University,Ithaca College,9,0,"Wetsman, Ryan J.","Beldoch, Nick ",10/29/16,94591,CSA Men,2,"11-2,11-2,11-0",Colgate University,Ithaca College,18568,18594
Colgate University,Ithaca College,9,0,"Brauer, Philip R.","Bialowas, Ross ",10/29/16,94591,CSA Men,3,"11-0,11-2,11-5",Colgate University,Ithaca College,18568,18594
Colgate University,Ithaca College,9,0,"Green, Oliver R.","Truslow, Will ",10/29/16,94591,CSA Men,4,"11-2,11-2,11-2",Colgate University,Ithaca College,18568,18594
Colgate University,Ithaca College,9,0,"Griffin, Ryan ","Hochella, Katherine ",10/29/16,94591,CSA Men,5,"11-8,11-2,11-1",Colgate University,Ithaca College,18568,18594
Colgate University,Ithaca College,9,0,"Boova, Alex ","Yick, Joanne ",10/29/16,94591,CSA Men,6,"11-1,11-3,11-2",Colgate University,Ithaca College,18568,18594
Colgate University,Ithaca College,9,0,"Dardani, Esteban ","Cuzzi, Christina ",10/29/16,94591,CSA Men,7,"11-1,11-2,11-2",Colgate University,Ithaca College,18568,18594
Colgate University,Ithaca College,9,0,"Sneeringer, Tom ","Mauro, Malcolm ",10/29/16,94591,CSA Men,8,"11-1,11-1,11-2",Colgate University,Ithaca College,18568,18594
Colgate University,Ithaca College,9,0,"Singer, Jonathan E.","Mauro, Malcolm ",10/29/16,94591,CSA Men,9,"11-1,11-0,11-2",Colgate University,Ithaca College,18568,18594
Colgate University,Ithaca College,9,0,,,10/29/16,94591,CSA Men,10,unknown,Colgate University,Ithaca College,18568,18594
